id_venda,data_venda,id_produto,id_cliente,canal_venda,quantidade,preco_unitario,custo_unitario,regiao,receita_liquida,custo_total,margem_bruta_total,mes_nome,ano_mes,id_prod_ref,nome_produto,categoria_produto,marca_produto,faixa_etaria,genero_cliente,estado_cliente,meta_receita,meta_margem
1,2024-02-21,11,42,Marketplace,2,3766.13,4715.36,Nordeste,7532.26,9430.72,-1898.4599999999991,Feb,2024-02-01,11,Produto_11,Acessório,TechOne,26-35,M,PR,,
2,2024-04-05,12,32,App,1,7550.19,4520.91,Sudeste,7550.19,4520.91,3029.2799999999997,Apr,2024-04-01,12,Produto_12,Acessório,SmartHub,46-60,F,SP,,
3,2024-08-09,12,39,Site,5,2658.17,2784.36,Norte,13290.85,13921.800000000001,-630.9500000000007,Aug,2024-08-01,12,Produto_12,Acessório,SmartHub,26-35,M,MG,,
4,2024-08-18,4,45,Marketplace,2,5323.01,5086.35,Sul,10646.02,10172.7,473.3199999999997,Aug,2024-08-01,4,Produto_4,Acessório,TechOne,26-35,F,RS,,
5,2024-08-24,16,46,App,2,5252.66,756.28,Nordeste,10505.32,1512.56,8992.76,Aug,2024-08-01,16,Produto_16,Smartphone,NovaTech,26-35,F,BA,,
6,2024-05-22,4,36,Site,3,2083.53,1591.69,Centro-Oeste,6250.59,4775.07,1475.5200000000004,May,2024-05-01,4,Produto_4,Acessório,TechOne,46-60,M,PR,,
7,2024-06-19,5,40,Site,5,5238.36,4981.62,Sudeste,26191.8,24908.1,1283.7000000000007,Jun,2024-06-01,5,Produto_5,Smartphone,NovaTech,18-25,M,SP,242511.4,53.36185845283974
8,2024-01-29,5,37,Marketplace,1,1777.44,2317.72,Sudeste,1777.44,2317.72,-540.2799999999997,Jan,2024-01-01,5,Produto_5,Smartphone,NovaTech,36-45,M,PE,230049.16,71.02088962202687
9,2024-02-05,8,33,App,2,1063.86,5888.59,Nordeste,2127.72,11777.18,-9649.460000000001,Feb,2024-02-01,8,Produto_8,Notebook,TechOne,36-45,F,BA,,
10,2024-01-13,10,36,Marketplace,5,5640.93,2840.22,Centro-Oeste,28204.65,14201.099999999999,14003.550000000003,Jan,2024-01-01,10,Produto_10,Acessório,TechOne,46-60,M,PR,230049.16,71.02088962202687
11,2024-06-08,17,3,Marketplace,5,996.18,4768.26,Sudeste,4980.9,23841.300000000003,-18860.4,Jun,2024-06-01,17,Produto_17,Notebook,NovaTech,36-45,M,MG,242511.4,53.36185845283974
12,2024-11-22,9,9,App,1,7975.58,2461.66,Sul,7975.58,2461.66,5513.92,Nov,2024-11-01,9,Produto_9,Acessório,NovaTech,46-60,F,RJ,390819.29,42.07243455152892
13,2024-07-05,19,8,App,5,1549.27,2595.72,Sudeste,7746.35,12978.599999999999,-5232.249999999998,Jul,2024-07-01,19,Produto_19,Notebook,NovaTech,46-60,F,PR,536793.41,22.771958023851298
14,2024-08-30,14,33,App,5,4793.72,2346.67,Centro-Oeste,23968.600000000002,11733.35,12235.250000000002,Aug,2024-08-01,14,Produto_14,Acessório,SmartHub,36-45,F,BA,,
15,2024-03-26,8,6,Site,5,3349.86,4336.93,Norte,16749.3,21684.65,-4935.350000000002,Mar,2024-03-01,8,Produto_8,Notebook,TechOne,46-60,F,BA,541782.03,12.319602036265396
16,2024-10-10,9,41,App,2,1098.45,3321.31,Norte,2196.9,6642.62,-4445.719999999999,Oct,2024-10-01,9,Produto_9,Acessório,NovaTech,46-60,M,PR,,
17,2024-03-06,11,39,Marketplace,1,319.97,5667.17,Nordeste,319.97,5667.17,-5347.2,Mar,2024-03-01,11,Produto_11,Acessório,TechOne,26-35,M,MG,541782.03,12.319602036265396
18,2024-06-18,1,4,App,5,5019.59,1565.27,Centro-Oeste,25097.95,7826.35,17271.6,Jun,2024-06-01,1,Produto_1,Acessório,NovaTech,26-35,F,SP,242511.4,53.36185845283974
19,2024-02-14,14,13,Marketplace,5,6473.38,675.33,Sudeste,32366.9,3376.65,28990.25,Feb,2024-02-01,14,Produto_14,Acessório,SmartHub,36-45,F,SP,,
20,2024-03-02,5,49,App,2,6751.92,2408.11,Sudeste,13503.84,4816.22,8687.619999999999,Mar,2024-03-01,5,Produto_5,Smartphone,NovaTech,26-35,M,PR,541782.03,12.319602036265396
21,2024-05-13,14,2,App,1,3913.44,3730.94,Norte,3913.44,3730.94,182.5,May,2024-05-01,14,Produto_14,Acessório,SmartHub,26-35,M,MG,,
22,2024-10-10,4,5,App,3,6241.9,5175.93,Norte,18725.699999999997,15527.79,3197.909999999996,Oct,2024-10-01,4,Produto_4,Acessório,TechOne,36-45,F,MG,,
23,2024-01-28,1,44,App,2,5415.49,2129.49,Sul,10830.98,4258.98,6572.0,Jan,2024-01-01,1,Produto_1,Acessório,NovaTech,46-60,M,RJ,230049.16,71.02088962202687
24,2024-04-17,19,27,Marketplace,1,5821.61,3950.42,Norte,5821.61,3950.42,1871.1899999999996,Apr,2024-04-01,19,Produto_19,Notebook,NovaTech,18-25,M,MG,,
25,2024-02-13,8,32,Site,5,3991.53,2153.18,Sul,19957.65,10765.9,9191.750000000002,Feb,2024-02-01,8,Produto_8,Notebook,TechOne,46-60,F,SP,,
26,2024-12-05,15,21,App,1,5103.95,3733.94,Sudeste,5103.95,3733.94,1370.0099999999998,Dec,2024-12-01,15,Produto_15,Notebook,DataX,46-60,F,MG,,
27,2024-10-12,15,8,Site,1,6463.65,5318.06,Sul,6463.65,5318.06,1145.5899999999992,Oct,2024-10-01,15,Produto_15,Notebook,DataX,46-60,F,PR,,
28,2024-11-26,9,38,Site,1,3243.28,1449.64,Sul,3243.28,1449.64,1793.64,Nov,2024-11-01,9,Produto_9,Acessório,NovaTech,36-45,M,PR,390819.29,42.07243455152892
29,2024-05-07,9,8,App,3,6467.23,2473.11,Nordeste,19401.69,7419.33,11982.359999999999,May,2024-05-01,9,Produto_9,Acessório,NovaTech,46-60,F,PR,,
